date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2000-03-01,2000,3,2000.208333,5.960000,-3.698333
2000-04-01,2000,4,2000.291667,1.930000,-3.298571
2000-05-01,2000,5,2000.375000,-5.930000,-2.678750
2000-06-01,2000,6,2000.458333,-10.230000,-1.920000
2000-07-01,2000,7,2000.541667,-8.710000,-1.127000
2000-08-01,2000,8,2000.625000,-5.210000,-0.135455
2000-09-01,2000,9,2000.708333,-0.900000,0.623333
2000-10-01,2000,10,2000.791667,1.660000,0.755000
2000-11-01,2000,11,2000.875000,4.150000,0.677500
2000-12-01,2000,12,2000.958333,6.010000,0.662500
2001-01-01,2001,1,2001.041667,9.780000,0.704167
2001-02-01,2001,2,2001.125000,8.970000,0.707500
2001-03-01,2001,3,2001.208333,7.540000,0.633333
2001-04-01,2001,4,2001.291667,1.000000,0.709167
2001-05-01,2001,5,2001.375000,-6.110000,0.662500
2001-06-01,2001,6,2001.458333,-9.730000,0.614167
2001-07-01,2001,7,2001.541667,-8.670000,0.543333
2001-08-01,2001,8,2001.625000,-6.100000,0.380000
2001-09-01,2001,9,2001.708333,0.010000,0.302500
2001-10-01,2001,10,2001.791667,1.100000,0.215833
2001-11-01,2001,11,2001.875000,3.570000,0.190833
2001-12-01,2001,12,2001.958333,5.160000,0.235833
2002-01-01,2002,1,2002.041667,7.820000,0.204167
2002-02-01,2002,2,2002.125000,8.040000,0.079167
2002-03-01,2002,3,2002.208333,6.500000,0.039167
2002-04-01,2002,4,2002.291667,0.700000,-0.059167
2002-05-01,2002,5,2002.375000,-5.570000,0.065000
2002-06-01,2002,6,2002.458333,-10.110000,0.060833
2002-07-01,2002,7,2002.541667,-10.170000,0.135000
2002-08-01,2002,8,2002.625000,-6.580000,0.118333
2002-09-01,2002,9,2002.708333,-1.170000,0.185833
2002-10-01,2002,10,2002.791667,2.590000,0.178333
2002-11-01,2002,11,2002.875000,3.520000,0.227500
2002-12-01,2002,12,2002.958333,6.050000,0.190833
2003-01-01,2003,1,2003.041667,7.620000,0.246667
2003-02-01,2003,2,2003.125000,8.850000,0.351667
2003-03-01,2003,3,2003.208333,6.410000,0.506667
2003-04-01,2003,4,2003.291667,1.290000,0.555000
2003-05-01,2003,5,2003.375000,-6.010000,0.471667
2003-06-01,2003,6,2003.458333,-9.440000,0.490833
2003-07-01,2003,7,2003.541667,-8.910000,0.487500
2003-08-01,2003,8,2003.625000,-4.720000,0.572500
2003-09-01,2003,9,2003.708333,-0.590000,0.592500
2003-10-01,2003,10,2003.791667,1.590000,0.522500
2003-11-01,2003,11,2003.875000,3.750000,0.611667
2003-12-01,2003,12,2003.958333,6.010000,0.572500
2004-01-01,2004,1,2004.041667,8.640000,0.485000
2004-02-01,2004,2,2004.125000,9.090000,0.573333
2004-03-01,2004,3,2004.208333,5.570000,0.533333
2004-04-01,2004,4,2004.291667,2.360000,0.579167
2004-05-01,2004,5,2004.375000,-6.480000,0.560000
2004-06-01,2004,6,2004.458333,-10.490000,0.595833
2004-07-01,2004,7,2004.541667,-7.850000,0.694167
2004-08-01,2004,8,2004.625000,-5.200000,0.644167
2004-09-01,2004,9,2004.708333,-0.040000,0.538333
2004-10-01,2004,10,2004.791667,1.360000,0.625000
2004-11-01,2004,11,2004.875000,4.180000,0.521667
2004-12-01,2004,12,2004.958333,7.190000,0.701667
2005-01-01,2005,1,2005.041667,8.040000,0.750000
2005-02-01,2005,2,2005.125000,7.820000,0.583333
2005-03-01,2005,3,2005.208333,6.610000,0.521667
2005-04-01,2005,4,2005.291667,1.120000,0.470000
2005-05-01,2005,5,2005.375000,-4.320000,0.480833
2005-06-01,2005,6,2005.458333,-9.910000,0.430000
2005-07-01,2005,7,2005.541667,-9.850000,0.414167
2005-08-01,2005,8,2005.625000,-5.940000,0.492500
2005-09-01,2005,9,2005.708333,-0.660000,0.606667
2005-10-01,2005,10,2005.791667,1.490000,0.605833
2005-11-01,2005,11,2005.875000,3.570000,0.712500
2005-12-01,2005,12,2005.958333,7.000000,0.720000
2006-01-01,2006,1,2006.041667,8.980000,0.779167
2006-02-01,2006,2,2006.125000,9.190000,0.822500
2006-03-01,2006,3,2006.208333,6.600000,0.833333
2006-04-01,2006,4,2006.291667,2.400000,0.847500
2006-05-01,2006,5,2006.375000,-4.230000,0.825000
2006-06-01,2006,6,2006.458333,-9.200000,0.889167
2006-07-01,2006,7,2006.541667,-9.330000,0.813333
2006-08-01,2006,8,2006.625000,-5.810000,0.641667
2006-09-01,2006,9,2006.708333,-0.490000,0.588333
2006-10-01,2006,10,2006.791667,1.220000,0.528333
2006-11-01,2006,11,2006.875000,4.340000,0.487500
2006-12-01,2006,12,2006.958333,6.090000,0.371667
2007-01-01,2007,1,2007.041667,6.920000,0.413333
2007-02-01,2007,2,2007.125000,8.550000,0.452500
2007-03-01,2007,3,2007.208333,5.880000,0.460833
2007-04-01,2007,4,2007.291667,1.910000,0.355000
2007-05-01,2007,5,2007.375000,-5.620000,0.390000
2007-06-01,2007,6,2007.458333,-8.700000,0.283333
2007-07-01,2007,7,2007.541667,-8.860000,0.197500
2007-08-01,2007,8,2007.625000,-5.710000,0.334167
2007-09-01,2007,9,2007.708333,-1.760000,0.322500
2007-10-01,2007,10,2007.791667,1.640000,0.462500
2007-11-01,2007,11,2007.875000,3.060000,0.452500
2007-12-01,2007,12,2007.958333,5.060000,0.574167
