date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2005-03-01,2005,3,2005.208333,6.610000,0.629444
2005-04-01,2005,4,2005.291667,1.120000,0.632222
2005-05-01,2005,5,2005.375000,-4.320000,0.621944
2005-06-01,2005,6,2005.458333,-9.910000,0.638333
2005-07-01,2005,7,2005.541667,-9.850000,0.640556
2005-08-01,2005,8,2005.625000,-5.940000,0.592778
2005-09-01,2005,9,2005.708333,-0.660000,0.577778
2005-10-01,2005,10,2005.791667,1.490000,0.586389
2005-11-01,2005,11,2005.875000,3.570000,0.573889
2005-12-01,2005,12,2005.958333,7.000000,0.597778
2006-01-01,2006,1,2006.041667,8.980000,0.647500
2006-02-01,2006,2,2006.125000,9.190000,0.619444
2006-03-01,2006,3,2006.208333,6.600000,0.605278
2006-04-01,2006,4,2006.291667,2.400000,0.557500
2006-05-01,2006,5,2006.375000,-4.230000,0.565278
2006-06-01,2006,6,2006.458333,-9.200000,0.534167
2006-07-01,2006,7,2006.541667,-9.330000,0.475000
2006-08-01,2006,8,2006.625000,-5.810000,0.489444
2006-09-01,2006,9,2006.708333,-0.490000,0.505833
2006-10-01,2006,10,2006.791667,1.220000,0.532222
2006-11-01,2006,11,2006.875000,4.340000,0.550833
2006-12-01,2006,12,2006.958333,6.090000,0.555278
2007-01-01,2007,1,2007.041667,6.920000,0.590833
2007-02-01,2007,2,2007.125000,8.550000,0.639722
2007-03-01,2007,3,2007.208333,5.880000,0.697222
2007-04-01,2007,4,2007.291667,1.910000,0.695833
2007-05-01,2007,5,2007.375000,-5.620000,0.728333
2007-06-01,2007,6,2007.458333,-8.700000,0.726944
2007-07-01,2007,7,2007.541667,-8.860000,0.736389
2007-08-01,2007,8,2007.625000,-5.710000,0.728056
2007-09-01,2007,9,2007.708333,-1.760000,0.730833
2007-10-01,2007,10,2007.791667,1.640000,0.753889
2007-11-01,2007,11,2007.875000,3.060000,0.739722
2007-12-01,2007,12,2007.958333,5.060000,0.735000
2008-01-01,2008,1,2008.041667,8.560000,0.781389
2008-02-01,2008,2,2008.125000,8.410000,0.795278
2008-03-01,2008,3,2008.208333,7.560000,0.816667
2008-04-01,2008,4,2008.291667,1.790000,0.791667
2008-05-01,2008,5,2008.375000,-4.160000,0.800556
2008-06-01,2008,6,2008.458333,-8.630000,0.761389
2008-07-01,2008,7,2008.541667,-8.090000,0.766111
2008-08-01,2008,8,2008.625000,-3.870000,0.758889
2008-09-01,2008,9,2008.708333,-0.710000,0.745833
2008-10-01,2008,10,2008.791667,2.660000,0.738889
2008-11-01,2008,11,2008.875000,3.520000,0.743611
2008-12-01,2008,12,2008.958333,7.340000,0.734444
2009-01-01,2009,1,2009.041667,8.680000,0.705833
2009-02-01,2009,2,2009.125000,9.290000,0.692222
2009-03-01,2009,3,2009.208333,7.430000,0.682778
2009-04-01,2009,4,2009.291667,1.890000,0.705278
2009-05-01,2009,5,2009.375000,-4.400000,0.701667
2009-06-01,2009,6,2009.458333,-7.530000,0.690278
2009-07-01,2009,7,2009.541667,-8.830000,0.706944
2009-08-01,2009,8,2009.625000,-5.040000,0.707500
2009-09-01,2009,9,2009.708333,-1.390000,0.709722
2009-10-01,2009,10,2009.791667,1.540000,0.690278
2009-11-01,2009,11,2009.875000,2.930000,0.707222
2009-12-01,2009,12,2009.958333,6.260000,0.704167
2010-01-01,2010,1,2010.041667,6.660000,0.680278
2010-02-01,2010,2,2010.125000,8.080000,0.655556
2010-03-01,2010,3,2010.208333,5.630000,0.613611
2010-04-01,2010,4,2010.291667,2.080000,0.595556
2010-05-01,2010,5,2010.375000,-5.950000,0.607500
2010-06-01,2010,6,2010.458333,-9.730000,0.620278
2010-07-01,2010,7,2010.541667,-9.350000,0.549722
2010-08-01,2010,8,2010.625000,-6.050000,0.551389
2010-09-01,2010,9,2010.708333,-0.950000,0.589722
2010-10-01,2010,10,2010.791667,1.510000,0.569444
2010-11-01,2010,11,2010.875000,2.650000,0.588333
2010-12-01,2010,12,2010.958333,5.660000,0.593889
2011-01-01,2011,1,2011.041667,8.580000,0.560278
2011-02-01,2011,2,2011.125000,8.490000,0.577778
2011-03-01,2011,3,2011.208333,6.860000,0.591944
2011-04-01,2011,4,2011.291667,2.400000,0.612222
2011-05-01,2011,5,2011.375000,-4.270000,0.642222
2011-06-01,2011,6,2011.458333,-9.490000,0.687778
2011-07-01,2011,7,2011.541667,-8.980000,0.710000
2011-08-01,2011,8,2011.625000,-5.380000,0.713333
2011-09-01,2011,9,2011.708333,-1.360000,0.724444
2011-10-01,2011,10,2011.791667,3.090000,0.771944
2011-11-01,2011,11,2011.875000,3.980000,0.750278
2011-12-01,2011,12,2011.958333,4.800000,0.782222
2012-01-01,2012,1,2012.041667,8.740000,0.785833
2012-02-01,2012,2,2012.125000,10.670000,0.813333
2012-03-01,2012,3,2012.208333,6.700000,0.844167
2012-04-01,2012,4,2012.291667,2.570000,0.848611
2012-05-01,2012,5,2012.375000,-4.200000,0.850000
2012-06-01,2012,6,2012.458333,-8.740000,0.884167
2012-07-01,2012,7,2012.541667,-8.200000,0.899167
2012-08-01,2012,8,2012.625000,-4.530000,0.878889
2012-09-01,2012,9,2012.708333,-0.660000,0.877778
2012-10-01,2012,10,2012.791667,2.620000,0.883056
2012-11-01,2012,11,2012.875000,4.570000,0.883056
2012-12-01,2012,12,2012.958333,7.060000,0.882222
2013-01-01,2013,1,2013.041667,6.780000,0.880000
2013-02-01,2013,2,2013.125000,8.480000,0.868889
2013-03-01,2013,3,2013.208333,7.340000,0.901389
2013-04-01,2013,4,2013.291667,1.300000,0.934167
2013-05-01,2013,5,2013.375000,-4.800000,0.910278
2013-06-01,2013,6,2013.458333,-9.600000,0.913611
2013-07-01,2013,7,2013.541667,-8.360000,0.942778
2013-08-01,2013,8,2013.625000,-4.940000,0.905833
2013-09-01,2013,9,2013.708333,-0.790000,0.865278
2013-10-01,2013,10,2013.791667,1.560000,0.876389
2013-11-01,2013,11,2013.875000,3.880000,0.869444
2013-12-01,2013,12,2013.958333,6.200000,0.866667
2014-01-01,2014,1,2014.041667,7.850000,0.862222
2014-02-01,2014,2,2014.125000,8.450000,0.866389
2014-03-01,2014,3,2014.208333,7.050000,0.875278
2014-04-01,2014,4,2014.291667,2.400000,0.899444
2014-05-01,2014,5,2014.375000,-4.300000,0.890278
2014-06-01,2014,6,2014.458333,-9.570000,0.871667
2014-07-01,2014,7,2014.541667,-9.380000,0.845556
2014-08-01,2014,8,2014.625000,-4.210000,0.879444
2014-09-01,2014,9,2014.708333,-0.180000,0.846944
2014-10-01,2014,10,2014.791667,2.230000,0.818611
2014-11-01,2014,11,2014.875000,4.100000,0.823611
2014-12-01,2014,12,2014.958333,5.850000,0.821111
2015-01-01,2015,1,2015.041667,7.410000,0.878611
2015-02-01,2015,2,2015.125000,9.210000,0.883333
2015-03-01,2015,3,2015.208333,7.100000,0.891667
2015-04-01,2015,4,2015.291667,2.320000,0.906944
2015-05-01,2015,5,2015.375000,-4.300000,0.920278
2015-06-01,2015,6,2015.458333,-8.900000,0.946389
2015-07-01,2015,7,2015.541667,-8.050000,0.965000
2015-08-01,2015,8,2015.625000,-4.210000,1.004722
2015-09-01,2015,9,2015.708333,0.210000,1.039722
2015-10-01,2015,10,2015.791667,2.290000,1.045278
2015-11-01,2015,11,2015.875000,3.900000,1.032222
2015-12-01,2015,12,2015.958333,6.120000,1.006944
2016-01-01,2016,1,2016.041667,8.000000,1.038333
2016-02-01,2016,2,2016.125000,7.310000,1.073889
2016-03-01,2016,3,2016.208333,6.320000,1.050000
2016-04-01,2016,4,2016.291667,1.480000,1.026111
2016-05-01,2016,5,2016.375000,-4.890000,1.001944
2016-06-01,2016,6,2016.458333,-7.530000,0.999444
2016-07-01,2016,7,2016.541667,-8.190000,0.995278
2016-08-01,2016,8,2016.625000,-4.640000,1.035278
2016-09-01,2016,9,2016.708333,-0.240000,1.033889
2016-10-01,2016,10,2016.791667,2.040000,1.023056
2016-11-01,2016,11,2016.875000,4.820000,1.041667
2016-12-01,2016,12,2016.958333,6.870000,1.038611
2017-01-01,2017,1,2017.041667,9.280000,1.020556
2017-02-01,2017,2,2017.125000,9.710000,1.006944
2017-03-01,2017,3,2017.208333,7.250000,0.990556
2017-04-01,2017,4,2017.291667,1.930000,0.996389
2017-05-01,2017,5,2017.375000,-5.210000,1.015556
2017-06-01,2017,6,2017.458333,-8.440000,1.049444
2017-07-01,2017,7,2017.541667,-8.100000,1.086944
2017-08-01,2017,8,2017.625000,-5.070000,1.105278
2017-09-01,2017,9,2017.708333,-1.040000,1.164722
2017-10-01,2017,10,2017.791667,1.360000,1.193333
2017-11-01,2017,11,2017.875000,4.010000,1.213056
2017-12-01,2017,12,2017.958333,5.700000,1.226389
2018-01-01,2018,1,2018.041667,8.850000,1.202222
2018-02-01,2018,2,2018.125000,9.160000,1.202778
2018-03-01,2018,3,2018.208333,6.710000,1.193611
2018-04-01,2018,4,2018.291667,2.990000,1.200833
2018-05-01,2018,5,2018.375000,-4.410000,1.241111
2018-06-01,2018,6,2018.458333,-9.550000,1.239167
2018-07-01,2018,7,2018.541667,-8.540000,1.221944
2018-08-01,2018,8,2018.625000,-4.800000,1.191389
2018-09-01,2018,9,2018.708333,0.420000,1.155278
2018-10-01,2018,10,2018.791667,2.980000,1.148889
2018-11-01,2018,11,2018.875000,5.120000,1.161944
2018-12-01,2018,12,2018.958333,7.470000,1.175000
2019-01-01,2019,1,2019.041667,8.660000,1.162778
2019-02-01,2019,2,2019.125000,9.450000,1.153611
2019-03-01,2019,3,2019.208333,7.350000,1.177778
2019-04-01,2019,4,2019.291667,2.190000,1.187222
2019-05-01,2019,5,2019.375000,-4.410000,1.189167
2019-06-01,2019,6,2019.458333,-8.400000,1.161667
2019-07-01,2019,7,2019.541667,-8.170000,1.150278
2019-08-01,2019,8,2019.625000,-4.970000,1.131389
2019-09-01,2019,9,2019.708333,0.020000,1.123889
2019-10-01,2019,10,2019.791667,3.490000,1.151111
2019-11-01,2019,11,2019.875000,4.750000,1.150278
2019-12-01,2019,12,2019.958333,6.250000,1.151389
2020-01-01,2020,1,2020.041667,8.180000,1.214167
2020-02-01,2020,2,2020.125000,8.410000,1.228611
2020-03-01,2020,3,2020.208333,7.020000,1.247222
2020-04-01,2020,4,2020.291667,2.400000,1.246944
2020-05-01,2020,5,2020.375000,-4.740000,1.235278
2020-06-01,2020,6,2020.458333,-8.880000,1.231944
2020-07-01,2020,7,2020.541667,-8.430000,1.198056
2020-08-01,2020,8,2020.625000,-4.200000,1.214444
2020-09-01,2020,9,2020.708333,-0.700000,1.214167
2020-10-01,2020,10,2020.791667,1.430000,1.215000
2020-11-01,2020,11,2020.875000,3.020000,1.203889
2020-12-01,2020,12,2020.958333,5.290000,1.179722
2021-01-01,2021,1,2021.041667,8.170000,1.207778
2021-02-01,2021,2,2021.125000,8.890000,1.194167
2021-03-01,2021,3,2021.208333,7.690000,1.225000
2021-04-01,2021,4,2021.291667,2.960000,1.231111
2021-05-01,2021,5,2021.375000,-4.370000,1.210278
2021-06-01,2021,6,2021.458333,-7.290000,1.207778
2021-07-01,2021,7,2021.541667,-8.020000,1.247778
2021-08-01,2021,8,2021.625000,-4.130000,1.286111
2021-09-01,2021,9,2021.708333,0.410000,1.330556
2021-10-01,2021,10,2021.791667,2.560000,1.366111
2021-11-01,2021,11,2021.875000,5.000000,1.408056
2021-12-01,2021,12,2021.958333,6.250000,1.447778
2022-01-01,2022,1,2022.041667,9.250000,1.473611
2022-02-01,2022,2,2022.125000,9.440000,1.485833
2022-03-01,2022,3,2022.208333,7.380000,1.489444
2022-04-01,2022,4,2022.291667,1.790000,1.512500
2022-05-01,2022,5,2022.375000,-5.280000,1.534722
2022-06-01,2022,6,2022.458333,-7.390000,1.575556
2022-07-01,2022,7,2022.541667,-8.660000,1.616667
2022-08-01,2022,8,2022.625000,-3.860000,1.611944
2022-09-01,2022,9,2022.708333,0.240000,1.607778
2022-10-01,2022,10,2022.791667,2.740000,1.580556
2022-11-01,2022,11,2022.875000,4.660000,1.561667
2022-12-01,2022,12,2022.958333,7.690000,1.519444
2023-01-01,2023,1,2023.041667,9.560000,1.475556
2023-02-01,2023,2,2023.125000,10.010000,1.454722
2023-03-01,2023,3,2023.208333,8.300000,1.442500
2023-04-01,2023,4,2023.291667,3.910000,1.421111
2023-05-01,2023,5,2023.375000,-3.310000,1.418056
2023-06-01,2023,6,2023.458333,-7.950000,1.396111
2023-07-01,2023,7,2023.541667,-7.990000,1.386111
2023-08-01,2023,8,2023.625000,-4.070000,1.398889
2023-09-01,2023,9,2023.708333,0.130000,1.386667
2023-10-01,2023,10,2023.791667,2.230000,1.386111
