date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2000-03-01,2000,3,2000.208333,5.960000,5.960000
2000-04-01,2000,4,2000.291667,1.930000,3.945000
2000-05-01,2000,5,2000.375000,-5.930000,-2.000000
2000-06-01,2000,6,2000.458333,-10.230000,-8.080000
2000-07-01,2000,7,2000.541667,-8.710000,-9.470000
2000-08-01,2000,8,2000.625000,-5.210000,-6.960000
2000-09-01,2000,9,2000.708333,-0.900000,-3.055000
2000-10-01,2000,10,2000.791667,1.660000,0.380000
2000-11-01,2000,11,2000.875000,4.150000,2.905000
2000-12-01,2000,12,2000.958333,6.010000,5.080000
2001-01-01,2001,1,2001.041667,9.780000,7.895000
2001-02-01,2001,2,2001.125000,8.970000,9.375000
2001-03-01,2001,3,2001.208333,7.540000,8.255000
2001-04-01,2001,4,2001.291667,1.000000,4.270000
2001-05-01,2001,5,2001.375000,-6.110000,-2.555000
2001-06-01,2001,6,2001.458333,-9.730000,-7.920000
2001-07-01,2001,7,2001.541667,-8.670000,-9.200000
2001-08-01,2001,8,2001.625000,-6.100000,-7.385000
2001-09-01,2001,9,2001.708333,0.010000,-3.045000
2001-10-01,2001,10,2001.791667,1.100000,0.555000
2001-11-01,2001,11,2001.875000,3.570000,2.335000
2001-12-01,2001,12,2001.958333,5.160000,4.365000
2002-01-01,2002,1,2002.041667,7.820000,6.490000
2002-02-01,2002,2,2002.125000,8.040000,7.930000
2002-03-01,2002,3,2002.208333,6.500000,7.270000
2002-04-01,2002,4,2002.291667,0.700000,3.600000
2002-05-01,2002,5,2002.375000,-5.570000,-2.435000
2002-06-01,2002,6,2002.458333,-10.110000,-7.840000
2002-07-01,2002,7,2002.541667,-10.170000,-10.140000
2002-08-01,2002,8,2002.625000,-6.580000,-8.375000
2002-09-01,2002,9,2002.708333,-1.170000,-3.875000
2002-10-01,2002,10,2002.791667,2.590000,0.710000
2002-11-01,2002,11,2002.875000,3.520000,3.055000
2002-12-01,2002,12,2002.958333,6.050000,4.785000
2003-01-01,2003,1,2003.041667,7.620000,6.835000
2003-02-01,2003,2,2003.125000,8.850000,8.235000
2003-03-01,2003,3,2003.208333,6.410000,7.630000
2003-04-01,2003,4,2003.291667,1.290000,3.850000
2003-05-01,2003,5,2003.375000,-6.010000,-2.360000
2003-06-01,2003,6,2003.458333,-9.440000,-7.725000
2003-07-01,2003,7,2003.541667,-8.910000,-9.175000
2003-08-01,2003,8,2003.625000,-4.720000,-6.815000
2003-09-01,2003,9,2003.708333,-0.590000,-2.655000
2003-10-01,2003,10,2003.791667,1.590000,0.500000
2003-11-01,2003,11,2003.875000,3.750000,2.670000
2003-12-01,2003,12,2003.958333,6.010000,4.880000
2004-01-01,2004,1,2004.041667,8.640000,7.325000
2004-02-01,2004,2,2004.125000,9.090000,8.865000
2004-03-01,2004,3,2004.208333,5.570000,7.330000
2004-04-01,2004,4,2004.291667,2.360000,3.965000
2004-05-01,2004,5,2004.375000,-6.480000,-2.060000
2004-06-01,2004,6,2004.458333,-10.490000,-8.485000
2004-07-01,2004,7,2004.541667,-7.850000,-9.170000
2004-08-01,2004,8,2004.625000,-5.200000,-6.525000
2004-09-01,2004,9,2004.708333,-0.040000,-2.620000
2004-10-01,2004,10,2004.791667,1.360000,0.660000
2004-11-01,2004,11,2004.875000,4.180000,2.770000
2004-12-01,2004,12,2004.958333,7.190000,5.685000
2005-01-01,2005,1,2005.041667,8.040000,7.615000
2005-02-01,2005,2,2005.125000,7.820000,7.930000
2005-03-01,2005,3,2005.208333,6.610000,7.215000
2005-04-01,2005,4,2005.291667,1.120000,3.865000
2005-05-01,2005,5,2005.375000,-4.320000,-1.600000
2005-06-01,2005,6,2005.458333,-9.910000,-7.115000
2005-07-01,2005,7,2005.541667,-9.850000,-9.880000
2005-08-01,2005,8,2005.625000,-5.940000,-7.895000
2005-09-01,2005,9,2005.708333,-0.660000,-3.300000
2005-10-01,2005,10,2005.791667,1.490000,0.415000
2005-11-01,2005,11,2005.875000,3.570000,2.530000
2005-12-01,2005,12,2005.958333,7.000000,5.285000
2006-01-01,2006,1,2006.041667,8.980000,7.990000
