date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2000-03-01,2000,3,2000.208333,5.960000,0.704400
2000-04-01,2000,4,2000.291667,1.930000,0.704231
2000-05-01,2000,5,2000.375000,-5.930000,0.471852
2000-06-01,2000,6,2000.458333,-10.230000,0.093929
2000-07-01,2000,7,2000.541667,-8.710000,-0.260000
2000-08-01,2000,8,2000.625000,-5.210000,-0.470667
2000-09-01,2000,9,2000.708333,-0.900000,-0.493226
2000-10-01,2000,10,2000.791667,1.660000,-0.396875
2000-11-01,2000,11,2000.875000,4.150000,-0.278182
2000-12-01,2000,12,2000.958333,6.010000,-0.092059
2001-01-01,2001,1,2001.041667,9.780000,0.128286
2001-02-01,2001,2,2001.125000,8.970000,0.370556
2001-03-01,2001,3,2001.208333,7.540000,0.533784
2001-04-01,2001,4,2001.291667,1.000000,0.553684
2001-05-01,2001,5,2001.375000,-6.110000,0.385385
2001-06-01,2001,6,2001.458333,-9.730000,0.139750
2001-07-01,2001,7,2001.541667,-8.670000,-0.080976
2001-08-01,2001,8,2001.625000,-6.100000,-0.191429
2001-09-01,2001,9,2001.708333,0.010000,-0.200698
2001-10-01,2001,10,2001.791667,1.100000,-0.160000
2001-11-01,2001,11,2001.875000,3.570000,-0.073111
2001-12-01,2001,12,2001.958333,5.160000,0.059130
2002-01-01,2002,1,2002.041667,7.820000,0.241702
2002-02-01,2002,2,2002.125000,8.040000,0.426042
2002-03-01,2002,3,2002.208333,6.500000,0.531020
2002-04-01,2002,4,2002.291667,0.700000,0.567600
2002-05-01,2002,5,2002.375000,-5.570000,0.318800
2002-06-01,2002,6,2002.458333,-10.110000,0.070400
2002-07-01,2002,7,2002.541667,-10.170000,0.032000
2002-08-01,2002,8,2002.625000,-6.580000,0.132600
2002-09-01,2002,9,2002.708333,-1.170000,0.306000
2002-10-01,2002,10,2002.791667,2.590000,0.437400
2002-11-01,2002,11,2002.875000,3.520000,0.539000
2002-12-01,2002,12,2002.958333,6.050000,0.649600
2003-01-01,2003,1,2003.041667,7.620000,0.727400
2003-02-01,2003,2,2003.125000,8.850000,0.763600
2003-03-01,2003,3,2003.208333,6.410000,0.700200
2003-04-01,2003,4,2003.291667,1.290000,0.543200
2003-05-01,2003,5,2003.375000,-6.010000,0.306000
2003-06-01,2003,6,2003.458333,-9.440000,0.087800
2003-07-01,2003,7,2003.541667,-8.910000,0.013000
2003-08-01,2003,8,2003.625000,-4.720000,0.088800
2003-09-01,2003,9,2003.708333,-0.590000,0.249000
2003-10-01,2003,10,2003.791667,1.590000,0.400800
2003-11-01,2003,11,2003.875000,3.750000,0.472000
2003-12-01,2003,12,2003.958333,6.010000,0.590000
2004-01-01,2004,1,2004.041667,8.640000,0.698200
2004-02-01,2004,2,2004.125000,9.090000,0.778800
2004-03-01,2004,3,2004.208333,5.570000,0.754400
2004-04-01,2004,4,2004.291667,2.360000,0.641600
2004-05-01,2004,5,2004.375000,-6.480000,0.427000
2004-06-01,2004,6,2004.458333,-10.490000,0.229000
2004-07-01,2004,7,2004.541667,-7.850000,0.153800
2004-08-01,2004,8,2004.625000,-5.200000,0.239800
2004-09-01,2004,9,2004.708333,-0.040000,0.433400
2004-10-01,2004,10,2004.791667,1.360000,0.589400
2004-11-01,2004,11,2004.875000,4.180000,0.699600
2004-12-01,2004,12,2004.958333,7.190000,0.769600
2005-01-01,2005,1,2005.041667,8.040000,0.837600
2005-02-01,2005,2,2005.125000,7.820000,0.887600
2005-03-01,2005,3,2005.208333,6.610000,0.852800
2005-04-01,2005,4,2005.291667,1.120000,0.714000
2005-05-01,2005,5,2005.375000,-4.320000,0.473400
2005-06-01,2005,6,2005.458333,-9.910000,0.273600
2005-07-01,2005,7,2005.541667,-9.850000,0.216600
2005-08-01,2005,8,2005.625000,-5.940000,0.291200
2005-09-01,2005,9,2005.708333,-0.660000,0.434200
2005-10-01,2005,10,2005.791667,1.490000,0.561400
2005-11-01,2005,11,2005.875000,3.570000,0.634400
2005-12-01,2005,12,2005.958333,7.000000,0.703800
2006-01-01,2006,1,2006.041667,8.980000,0.800000
2006-02-01,2006,2,2006.125000,9.190000,0.848000
2006-03-01,2006,3,2006.208333,6.600000,0.826400
2006-04-01,2006,4,2006.291667,2.400000,0.680400
2006-05-01,2006,5,2006.375000,-4.230000,0.485800
2006-06-01,2006,6,2006.458333,-9.200000,0.266000
2006-07-01,2006,7,2006.541667,-9.330000,0.233800
2006-08-01,2006,8,2006.625000,-5.810000,0.366200
2006-09-01,2006,9,2006.708333,-0.490000,0.509000
2006-10-01,2006,10,2006.791667,1.220000,0.666200
2006-11-01,2006,11,2006.875000,4.340000,0.737400
2006-12-01,2006,12,2006.958333,6.090000,0.857000
2007-01-01,2007,1,2007.041667,6.920000,0.947000
2007-02-01,2007,2,2007.125000,8.550000,0.989000
2007-03-01,2007,3,2007.208333,5.880000,0.976800
2007-04-01,2007,4,2007.291667,1.910000,0.858200
2007-05-01,2007,5,2007.375000,-5.620000,0.638000
2007-06-01,2007,6,2007.458333,-8.700000,0.465000
2007-07-01,2007,7,2007.541667,-8.860000,0.374800
2007-08-01,2007,8,2007.625000,-5.710000,0.472200
2007-09-01,2007,9,2007.708333,-1.760000,0.641400
2007-10-01,2007,10,2007.791667,1.640000,0.791000
2007-11-01,2007,11,2007.875000,3.060000,0.862800
2007-12-01,2007,12,2007.958333,5.060000,0.958200
2008-01-01,2008,1,2008.041667,8.560000,1.020000
2008-02-01,2008,2,2008.125000,8.410000,1.041600
2008-03-01,2008,3,2008.208333,7.560000,0.974600
2008-04-01,2008,4,2008.291667,1.790000,0.832400
2008-05-01,2008,5,2008.375000,-4.160000,0.581400
2008-06-01,2008,6,2008.458333,-8.630000,0.338800
2008-07-01,2008,7,2008.541667,-8.090000,0.236400
2008-08-01,2008,8,2008.625000,-3.870000,0.299400
2008-09-01,2008,9,2008.708333,-0.710000,0.467000
2008-10-01,2008,10,2008.791667,2.660000,0.613400
2008-11-01,2008,11,2008.875000,3.520000,0.676200
2008-12-01,2008,12,2008.958333,7.340000,0.765000
2009-01-01,2009,1,2009.041667,8.680000,0.849800
2009-02-01,2009,2,2009.125000,9.290000,0.897800
2009-03-01,2009,3,2009.208333,7.430000,0.896600
2009-04-01,2009,4,2009.291667,1.890000,0.773600
2009-05-01,2009,5,2009.375000,-4.400000,0.570600
2009-06-01,2009,6,2009.458333,-7.530000,0.342600
2009-07-01,2009,7,2009.541667,-8.830000,0.275400
2009-08-01,2009,8,2009.625000,-5.040000,0.341800
2009-09-01,2009,9,2009.708333,-1.390000,0.491800
2009-10-01,2009,10,2009.791667,1.540000,0.667800
2009-11-01,2009,11,2009.875000,2.930000,0.782600
2009-12-01,2009,12,2009.958333,6.260000,0.845800
2010-01-01,2010,1,2010.041667,6.660000,0.959400
2010-02-01,2010,2,2010.125000,8.080000,1.071600
2010-03-01,2010,3,2010.208333,5.630000,1.034400
2010-04-01,2010,4,2010.291667,2.080000,0.917600
2010-05-01,2010,5,2010.375000,-5.950000,0.682400
2010-06-01,2010,6,2010.458333,-9.730000,0.471800
2010-07-01,2010,7,2010.541667,-9.350000,0.391000
