date,year,month,toa_net_flux_w_m2,decimal_year,running_12month_avg
2004-11-01,2004,11,4.18,2004.875,0.4404166666666667
2004-12-01,2004,12,7.19,2004.9583333333333,0.465
2005-01-01,2005,1,8.04,2005.0416666666667,0.42874999999999996
2005-02-01,2005,2,7.82,2005.125,0.40479166666666666
2005-03-01,2005,3,6.61,2005.2083333333333,0.3854166666666667
2005-04-01,2005,4,1.12,2005.2916666666667,0.3879166666666667
2005-05-01,2005,5,-4.32,2005.375,0.42520833333333335
2005-06-01,2005,6,-9.91,2005.4583333333333,0.4214583333333333
2005-07-01,2005,7,-9.85,2005.5416666666667,0.3968749999999999
2005-08-01,2005,8,-5.94,2005.625,0.40020833333333333
2005-09-01,2005,9,-0.66,2005.7083333333333,0.38625
2005-10-01,2005,10,1.49,2005.7916666666667,0.394375
2005-11-01,2005,11,3.57,2005.875,0.394375
2005-12-01,2005,12,7.0,2005.9583333333333,0.4327083333333333
2006-01-01,2006,1,8.98,2006.0416666666667,0.456875
2006-02-01,2006,2,9.19,2006.125,0.4808333333333333
2006-03-01,2006,3,6.6,2006.2083333333333,0.48291666666666666
2006-04-01,2006,4,2.4,2006.2916666666667,0.5183333333333333
2006-05-01,2006,5,-4.23,2006.375,0.54625
2006-06-01,2006,6,-9.2,2006.4583333333333,0.5652083333333334
2006-07-01,2006,7,-9.33,2006.5416666666667,0.5827083333333334
2006-08-01,2006,8,-5.81,2006.625,0.59875
2006-09-01,2006,9,-0.49,2006.7083333333333,0.6129166666666667
2006-10-01,2006,10,1.22,2006.7916666666667,0.584375
2006-11-01,2006,11,4.34,2006.875,0.6014583333333333
2006-12-01,2006,12,6.09,2006.9583333333333,0.6022916666666668
2007-01-01,2007,1,6.92,2007.0416666666667,0.5877083333333334
2007-02-01,2007,2,8.55,2007.125,0.5814583333333333
2007-03-01,2007,3,5.88,2007.2083333333333,0.5704166666666667
2007-04-01,2007,4,1.91,2007.2916666666667,0.5833333333333334
2007-05-01,2007,5,-5.62,2007.375,0.5914583333333333
2007-06-01,2007,6,-8.7,2007.4583333333333,0.6068749999999999
2007-07-01,2007,7,-8.86,2007.5416666666667,0.6079166666666667
2007-08-01,2007,8,-5.71,2007.625,0.5872916666666667
2007-09-01,2007,9,-1.76,2007.7083333333333,0.5629166666666666
2007-10-01,2007,10,1.64,2007.7916666666667,0.5639583333333333
2007-11-01,2007,11,3.06,2007.875,0.5495833333333333
2007-12-01,2007,12,5.06,2007.9583333333333,0.5297916666666667
2008-01-01,2008,1,8.56,2008.0416666666667,0.5281250000000001
2008-02-01,2008,2,8.41,2008.125,0.5139583333333334
2008-03-01,2008,3,7.56,2008.2083333333333,0.5554166666666667
2008-04-01,2008,4,1.79,2008.2916666666667,0.5435416666666667
2008-05-01,2008,5,-4.16,2008.375,0.591875
2008-06-01,2008,6,-8.63,2008.4583333333333,0.630625
2008-07-01,2008,7,-8.09,2008.5416666666667,0.6256250000000001
2008-08-01,2008,8,-3.87,2008.625,0.6533333333333334
2008-09-01,2008,9,-0.71,2008.7083333333333,0.6393749999999999
2008-10-01,2008,10,2.66,2008.7916666666667,0.6664583333333334
2008-11-01,2008,11,3.52,2008.875,0.6527083333333333
2008-12-01,2008,12,7.34,2008.9583333333333,0.6558333333333333
2009-01-01,2009,1,8.68,2009.0416666666667,0.6691666666666666
2009-02-01,2009,2,9.29,2009.125,0.6997916666666666
2009-03-01,2009,3,7.43,2009.2083333333333,0.7168749999999999
2009-04-01,2009,4,1.89,2009.2916666666667,0.7329166666666667
2009-05-01,2009,5,-4.4,2009.375,0.7312500000000001
2009-06-01,2009,6,-7.53,2009.4583333333333,0.7808333333333333
2009-07-01,2009,7,-8.83,2009.5416666666667,0.8020833333333334
2009-08-01,2009,8,-5.04,2009.625,0.8208333333333333
